
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
62	Glasgow D		3rd	1st	3rd	3rd	1st	3rd	1st	3rd	4th	14	1396	3	0
63	Copenhagen A		1st	3rd	3rd	2nd	3rd	2nd	4th	3rd	1st	14	1387	2	2
64	UCD LawSoc A		1st	4th	2nd	4th	2nd	2nd	4th	2nd	1st	14	1386	2	4
65	Durham A		1st	4th	2nd	1st	2nd	4th	4th	1st	3rd	14	1384	3	2
66	UCL D	ESL	2nd	2nd	1st	4th	4th	1st	2nd	4th	2nd	14	1384	2	4
67	Ljubljana B	ESL	2nd	3rd	4th	2nd	1st	1st	2nd	4th	3rd	14	1379	2	3
68	Reichman A	ESL	4th	1st	3rd	2nd	1st	3rd	3rd	1st	4th	14	1375	3	1
69	KCL B		3rd	2nd	1st	4th	2nd	4th	1st	3rd	2nd	14	1375	2	3
70	Hebrew C	ESL	2nd	1st	4th	3rd	1st	2nd	4th	2nd	3rd	14	1374	2	3
71	Belgrade C	ESL	4th	2nd	2nd	1st	3rd	3rd	3rd	2nd	2nd	14	1373	1	4
72	Copenhagen B	ESL	1st	3rd	1st	3rd	3rd	4th	2nd	3rd	2nd	14	1369	2	2
73	Jagiellonian B	ESL	2nd	4th	4th	3rd	4th	1st	1st	1st	2nd	14	1364	3	2
74	Belgrade E	ESL	4th	2nd	1st	1st	2nd	4th	4th	3rd	1st	14	1355	3	2
75	Hebrew D		4th	1st	3rd	4th	2nd	4th	2nd	1st	1st	14	1348	3	2
76	Belgrade D	ESL	3rd	2nd	4th	1st	1st	4th	3rd	1st	3rd	14	1134	3	1
77	Glasgow C		3rd	1st	3rd	2nd	3rd	2nd	3rd	2nd	4th	13	1393	1	3
78	LSE E		1st	1st	4th	3rd	4th	1st	1st	4th	4th	13	1386	4	0
79	Hebrew B	ESL	2nd	1st	4th	3rd	3rd	2nd	3rd	2nd	3rd	13	1372	1	3
80	Warsaw B	ESL	2nd	2nd	3rd	4th	2nd	1st	3rd	4th	2nd	13	1368	1	4
81	Bristol B		2nd	4th	1st	3rd	4th	1st	2nd	4th	2nd	13	1366	2	3
82	Jagiellonian A	ESL	2nd	2nd	4th	2nd	3rd	1st	4th	2nd	3rd	13	1363	1	4
83	Ben-Gurion A	ESL	3rd	4th	1st	3rd	3rd	2nd	1st	4th	2nd	13	1362	2	2
84	Weizmann D	ESL	2nd	1st	4th	4th	4th	2nd	2nd	1st	3rd	13	1359	2	3
85	Imperial Composite		2nd	2nd	2nd	4th	4th	3rd	2nd	1st	3rd	13	1359	1	4
86	Edinburgh D		3rd	1st	4th	1st	2nd	4th	4th	3rd	1st	13	1349	3	1
87	KCL C		2nd	2nd	2nd	4th	2nd	3rd	3rd	4th	1st	13	1344	1	4
88	Aberdeen A		4th	2nd	1st	2nd	4th	3rd	2nd	2nd	3rd	13	1343	1	4
89	Ben-Gurion B	ESL	4th	1st	3rd	3rd	3rd	1st	3rd	1st	4th	13	1339	3	0
90	TCD Phil D		3rd	4th	1st	2nd	4th	3rd	1st	1st	4th	13	1327	3	1
91	Technion D		4th	2nd	4th	4th	2nd	1st	3rd	1st	2nd	13	1327	2	3
92	Tel Aviv E	ESL	4th	3rd	4th	2nd	1st	2nd	2nd	4th	1st	13	1318	2	3
93	Warwick B		3rd	4th	2nd	2nd	4th	1st	2nd	1st	4th	13	1315	2	3
94	Galatasaray A	ESL	1st	4th	3rd	3rd	1st	4th	1st	3rd	3rd	13	1270	3	0
95	UCD L&amp;H B		1st	4th	4th	1st	2nd	4th	3rd	4th	1st	12	1362	3	1
96	Haifa B	ESL	1st	4th	1st	3rd	4th	2nd	2nd	3rd	4th	12	1362	2	2
97	TCD Hist E		2nd	3rd	2nd	2nd	4th	3rd	4th	2nd	2nd	12	1361	0	5
98	Warwick A		4th	2nd	1st	4th	4th	2nd	3rd	2nd	2nd	12	1352	1	4
99	Technion B	ESL	3rd	2nd	3rd	3rd	2nd	4th	1st	3rd	3rd	12	1349	1	2
100	Weizmann B	ESL	2nd	3rd	4th	4th	3rd	2nd	4th	1st	1st	12	1347	2	2
101	Weizmann A	ESL	3rd	2nd	4th	2nd	3rd	2nd	2nd	3rd	3rd	12	1344	0	4
102	Split B	ESL	3rd	3rd	4th	3rd	4th	1st	1st	1st	4th	12	1332	3	0
103	TCD Phil B		3rd	3rd	4th	1st	1st	3rd	3rd	3rd	3rd	12	1332	2	0
104	Ibn Haldun A	ESL	4th	3rd	1st	4th	1st	3rd	3rd	3rd	2nd	12	1311	2	1
105	RRIS C		4th	4th	2nd	1st	4th	2nd	4th	2nd	1st	12	1290	2	3
106	Edinburgh C		3rd	2nd	2nd	4th	1st	3rd	1st	4th	4th	12	1281	2	2
107	Manchester B		1st	3rd	4th	2nd	4th	3rd	2nd	2nd	3rd	12	1275	1	3
108	Leiden A	ESL	3rd	4th	3rd	1st	3rd	4th	4th	1st	1st	12	1121	3	0
109	UCD L&amp;H C		4th	1st	1st	4th	2nd	4th	3rd	2nd	4th	11	1355	2	2
110	Cicero A	ESL	3rd	4th	2nd	2nd	4th	1st	4th	2nd	3rd	11	1343	1	3
111	TCD Hist D		3rd	4th	1st	4th	2nd	4th	3rd	1st	3rd	11	1340	2	1
112	Split A	ESL	4th	1st	3rd	3rd	3rd	1st	2nd	4th	4th	11	1336	2	1
113	Adam Mickiewicz A	ESL	3rd	4th	3rd	1st	2nd	4th	3rd	3rd	2nd	11	1336	1	2
114	RRIS B		3rd	3rd	4th	3rd	1st	3rd	3rd	3rd	2nd	11	1333	1	1
115	Imperial B		2nd	2nd	4th	1st	3rd	4th	4th	3rd	2nd	11	1332	1	3
116	Bar-Ilan B	ESL	3rd	4th	3rd	2nd	3rd	1st	1st	4th	4th	11	1331	2	1
117	Leiden B		3rd	4th	2nd	3rd	3rd	2nd	2nd	2nd	4th	11	1319	0	4
118	Bristol C		3rd	1st	3rd	4th	1st	4th	4th	2nd	3rd	11	1314	2	1
119	Open C	ESL	4th	2nd	4th	3rd	2nd	4th	3rd	2nd	1st	11	1313	1	3
120	Aberdeen B		2nd	4th	2nd	4th	3rd	4th	1st	1st	4th	11	1306	2	2
121	Liverpool A		4th	4th	3rd	3rd	1st	3rd	2nd	3rd	2nd	11	1302	1	2
122	Reichman B		2nd	4th	2nd	4th	1st	4th	4th	4th	1st	10	1350	2	2
123	Vienna D		3rd	4th	1st	2nd	4th	2nd	3rd	4th	3rd	10	1350	1	2
124	Sciences Po Reims C		3rd	3rd	3rd	2nd	3rd	1st	4th	3rd	4th	10	1339	1	1
125	TCD Phil C		4th	1st	3rd	4th	1st	1st	4th	4th	4th	10	1333	3	0
