
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds
69	Small smoked fish &amp; Morgan Stanley 		1st	3rd	4th	4th	1st	3rd	1st	11	1070	3	0
70	QUEENS	High School	3rd	2nd	3rd	1st	3rd	2nd	3rd	11	1070	1	2
71	CWSDC GA	High School	2nd	4th	1st	2nd	3rd	4th	1st	11	1068	2	2
72	A Heartbroken dude and a Stressed g	High School	4th	1st	4th	3rd	3rd	1st	1st	11	1065	3	0
73	shipping is happiness		4th	3rd	2nd	1st	1st	4th	2nd	11	1061	2	2
74	PEANUTS GA SUKI	High School	3rd	2nd	1st	4th	3rd	2nd	3rd	10	1087	1	2
75	Rick Gave Us Up (because we are bro	High School	3rd	1st	1st	3rd	2nd	4th	4th	10	1083	2	1
76	Bear		1st	3rd	4th	2nd	2nd	2nd	4th	10	1083	1	3
77	What We Got		4th	2nd	2nd	3rd	2nd	2nd	3rd	10	1083	0	4
78	Sharks	High School	1st	2nd	3rd	3rd	2nd	4th	3rd	10	1082	1	2
79	CWSDC LE	High School	1st	2nd	4th	2nd	4th	4th	1st	10	1081	2	2
80	Candy Crush	High School	2nd	4th	1st	1st	3rd	4th	3rd	10	1079	2	1
81	We Grew Up With SIDO		1st	4th	1st	4th	3rd	4th	1st	10	1074	3	0
82	FUV		3rd	3rd	1st	2nd	3rd	4th	2nd	10	1074	1	2
83=	Kinetic Energy	High School	1st	4th	2nd	3rd	3rd	1st	4th	10	1073	2	1
83=	Swky	High School	2nd	4th	1st	3rd	4th	3rd	1st	10	1073	2	1
85	MUST LOOOOOK		3rd	2nd	4th	1st	2nd	2nd	4th	10	1073	1	3
86	Amma		2nd	3rd	2nd	3rd	3rd	3rd	2nd	10	1073	0	3
87	we take pois personally	High School	3rd	3rd	4th	2nd	2nd	3rd	1st	10	1070	1	2
88	Fantastick		2nd	3rd	4th	2nd	3rd	2nd	2nd	10	1069	0	4
89	Wabi Sabi	High School	3rd	4th	2nd	1st	1st	3rd	4th	10	1066	2	1
90	Kandy A	High School	4th	3rd	3rd	3rd	2nd	1st	2nd	10	1064	1	2
91	where do we go from here?		3rd	2nd	3rd	3rd	2nd	4th	1st	10	1063	1	2
92	Neversober		4th	2nd	4th	2nd	1st	2nd	3rd	10	1062	1	3
93	Midnight Sleepyheads		3rd	3rd	4th	2nd	2nd	2nd	2nd	10	1056	0	4
94	Domy Yogurt		3rd	3rd	3rd	3rd	2nd	1st	3rd	10	1053	1	1
95	Am I adorable?		4th	4th	2nd	2nd	3rd	1st	2nd	10	1048	1	3
96	Debate our way to the GF	High School	1st	4th	4th	2nd	4th	1st	2nd	10	1047	2	2
97	Crispy Chicken	High School	1st	3rd	3rd	3rd	4th	1st	4th	9	1086	2	0
98	rich era when	High School	1st	4th	4th	2nd	2nd	2nd	4th	9	1076	1	3
99	low hanging fruit	High School	3rd	1st	4th	1st	2nd	4th	4th	9	1071	2	1
100	idk	High School	3rd	2nd	2nd	4th	2nd	3rd	3rd	9	1071	0	3
101=	First month of f2f is 💩	High School	3rd	3rd	2nd	2nd	4th	1st	4th	9	1062	1	2
101=	Malaysia Folklore	High School	2nd	4th	3rd	3rd	1st	2nd	4th	9	1062	1	2
103	RUC Sunday Morning		3rd	4th	2nd	4th	2nd	3rd	1st	9	1060	1	2
104	Wayward Ribs		2nd	4th	3rd	3rd	2nd	3rd	2nd	9	1058	0	3
105	SHOU-AJ		2nd	4th	3rd	4th	1st	2nd	3rd	9	1056	1	2
106	unverage		3rd	4th	2nd	2nd	2nd	3rd	3rd	9	1055	0	3
107	Arvada King Dar Gwa		3rd	4th	2nd	3rd	4th	2nd	1st	9	1053	1	2
108=	Give me five one more time		4th	2nd	1st	4th	1st	4th	3rd	9	1051	2	1
108=	MUST Die Hard		4th	3rd	4th	2nd	4th	1st	1st	9	1051	2	1
110	Double WHIPS		4th	3rd	1st	3rd	3rd	1st	4th	9	1050	2	0
111	Simultaneous Equation		4th	2nd	3rd	2nd	4th	2nd	2nd	9	1046	0	4
112	3rd is satisfying		4th	1st	2nd	2nd	4th	3rd	4th	8	1072	1	2
113	Sugar Plz		2nd	3rd	3rd	4th	2nd	2nd	4th	8	1067	0	3
114	no clue	High School	4th	1st	2nd	4th	3rd	4th	2nd	8	1065	1	2
115	We don’t have a name		4th	1st	4th	4th	1st	4th	2nd	8	1064	2	1
116	NNU Plus One		4th	1st	2nd	3rd	4th	4th	2nd	8	1063	1	2
117	have mercy on us please		3rd	2nd	3rd	4th	1st	4th	3rd	8	1061	1	1
118	Manphia		2nd	4th	2nd	3rd	2nd	4th	3rd	8	1060	0	3
119	Lay Flat		3rd	3rd	4th	1st	1st	4th	4th	8	1057	2	0
120	Electricity		3rd	4th	1st	1st	4th	3rd	4th	8	1053	2	0
121	Random Weirdos	High School	3rd	4th	4th	1st	3rd	2nd	3rd	8	1049	1	1
122	We don&#x27;t cook we don&#x27;t clean		4th	3rd	3rd	4th	2nd	3rd	1st	8	1041	1	1
123	Who&#x27;s Next		3rd	4th	3rd	3rd	2nd	1st	4th	8	1037	1	1
124	Let&#x27;s Taco Bout It	High School	3rd	4th	1st	3rd	1st	—	—	8	767	2	0
125	Z&amp;L		3rd	3rd	3rd	1st	4th	3rd	4th	7	1066	1	0
126	Outsiders		3rd	1st	4th	3rd	4th	2nd	4th	7	1056	1	1
127	SISU stray girls		4th	1st	4th	4th	3rd	3rd	2nd	7	1053	1	1
128	Shanghai		4th	2nd	4th	1st	4th	3rd	3rd	7	1052	1	1
129	THW Ban Dihydro Monoxide		2nd	2nd	3rd	2nd	4th	4th	4th	7	1050	0	3
130	evermore		4th	3rd	4th	1st	4th	1st	4th	7	1047	2	0
131	Jimei		4th	4th	1st	3rd	3rd	4th	2nd	7	1047	1	1
132	Think about it		2nd	4th	2nd	4th	4th	2nd	3rd	7	1047	0	3
133	Big smart eggs		4th	4th	1st	3rd	3rd	3rd	3rd	7	1046	1	0
134	Plus	High School	4th	3rd	3rd	4th	3rd	2nd	2nd	7	1044	0	2
135	FL Clover		4th	3rd	1st	4th	4th	4th	1st	7	1043	2	0
136	Desperated headache 🤦‍♂️		4th	1st	4th	4th	3rd	2nd	3rd	7	1042	1	1
137	LHP Padaboom		3rd	3rd	3rd	4th	4th	1st	3rd	7	1041	1	0
138	Grass Connoisseurs	High School	4th	3rd	4th	3rd	1st	2nd	4th	7	1040	1	1
139	Shuank Q		4th	4th	3rd	3rd	2nd	4th	1st	7	1033	1	1
140	KNUST O		3rd	3rd	1st	4th	2nd	—	—	7	774	1	1
141	SGT		2nd	1st	4th	4th	4th	3rd	4th	6	1048	1	1
142	Don&#x27;t Judge		4th	2nd	2nd	4th	3rd	4th	3rd	6	1036	0	2
143	To be Rich		4th	4th	4th	1st	1st	4th	4th	6	1028	2	0
144	POI in the Chat		3rd	4th	1st	4th	4th	3rd	4th	5	1055	1	0
145	SpongeBob		3rd	3rd	4th	2nd	3rd	4th	4th	5	1035	0	1
146	Debate for Love Team		4th	4th	3rd	4th	1st	4th	3rd	5	1028	1	0
147	Team Macau Dev MM	High School	4th	4th	3rd	3rd	4th	2nd	3rd	5	1028	0	1
148	its giving existential dread bestie		4th	2nd	1st	4th	4th	—	—	5	753	1	1
149	Team Macau Dev TT	High School	4th	4th	2nd	4th	4th	4th	2nd	4	1012	0	2
150	Team Macau Dev HY	High School	4th	4th	4th	2nd	4th	3rd	4th	3	997	0	1
151	swing ZZ		—	—	4th	—	—	1st	—	3	296	1	0
152	Swing HT		—	—	—	3rd	—	—	2nd	3	291	0	1
153	Break X Hunter		2nd	4th	—	—	—	—	—	2	307	0	1
154	Swing CY		—	—	4th	—	3rd	4th	—	1	431	0	0
155	Swing GL		4th	4th	—	—	—	3rd	—	1	430	0	0
156	Swing FS		—	—	—	4th	3rd	4th	—	1	428	0	0
157	Swing 3		—	—	—	—	—	4th	—	0	148	0	0
158=	Dynamo Blancos		—	—	—	—	—	—	—	—	—	0	0
158=	Ones who Knock	High School	—	—	—	—	—	—	—	—	—	0	0
158=	Probably Wrong		—	—	—	—	—	—	—	—	—	0	0
158=	Sabak Daddy Bi		—	—	—	—	—	—	—	—	—	0	0
158=	Two Simps		—	—	—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	Total	Stdev
1	Goh Han Yang		MWBD	78	81	79	82	81	81	86	568	2.36
2	Ted Chang		Table L is the Best L	81	81	80	82	81	81	81	567	0.53
3=	Aly Barranda		Ateneo BC	81	78	83	82	80	79	84	567	2.00
3=	Quintin Chua		Ateneo BC	82	78	83	81	80	79	84	567	2.00
5	Bea Legaspi		UPD GL	80	82	81	80	81	81	81	566	0.64
6	Osel Pan		MWBD	77	81	79	82	81	79	86	565	2.66
7	Shaun Lee		NUS LT	80	80	81	81	79	80	82	563	0.90
8	Luis Garcia		UPD GL	80	80	80	79	80	81	82	562	0.88
9	Cavan Tay		NUS LT	79	79	79	81	80	80	81	559	0.83
10=	Benjamin Goh		I Ordered Affogato and They Gave Me	80	80	82	78	82	78	79	559	1.55
10=	Samuel Soh		I Ordered Affogato and They Gave Me	80	79	82	77	81	79	81	559	1.55
12	Stefan Christian Milicescu		Table L is the Best L	79	79	78	81	80	81	80	558	1.03
13	Megha Rahman		Making questionable decisions every	80	79	79	80	79	82	79	558	1.03
14	Ricky Huang		Hammering Yall&#x27;s Epistemics	79	80	77	81	81	79	80	557	1.29
15	Clement Tsao	High School	CWSDC BC	78	80	81	81	79	76	82	557	1.92
