
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	Pts	Spk	1sts	2nds
153	Erica Li	High School	Kinetic Energy	80	74	78	75	76	79	75	537	2.12
154=	Zhu Kongyang	High School	Swky	77	78	76	76	75	76	78	536	1.05
154=	Meredith Wang		We Grew Up With SIDO	76	78	78	76	76	75	77	536	1.05
156=	Sylvia Gao		CWSDC Vanderbilt	75	76	76	78	76	76	79	536	1.29
156=	Sean Thew	High School	SYDO	75	78	76	78	75	78	76	536	1.29
158=	Taylen Huang	High School	we take pois personally	74	76	78	77	79	77	75	536	1.59
158=	Benjamin Duan	High School	Should&#x27;ve Broke Second	75	79	74	78	77	77	76	536	1.59
160	Leah Del Fierro	High School	low hanging fruit	78	78	76	77	76	78	73	536	1.68
161	Kitty Jiang	High School	Kinetic Energy	80	74	77	76	76	79	74	536	2.13
162	Thang Tran		No Sleep Schedule	75	78	81	75	74	78	75	536	2.32
163	Le Minh Tu		FUV	75	76	76	78	76	77	77	535	0.90
164=	Gina Hu	High School	CWSDC GA	78	76	76	77	75	75	78	535	1.18
164=	Natsuki Mogi	High School	Wabi Sabi	77	75	76	76	78	78	75	535	1.18
166	Zhuangyan (Kevin) Shi	High School	low hanging fruit	77	77	75	77	77	78	74	535	1.29
167	Andy Yang		3rd is satisfying	77	77	78	78	74	76	75	535	1.40
168	Geoffrey Gao		Small smoked fish &amp; Morgan Stanley 	77	80	74	76	77	76	75	535	1.76
169	Daniel Yueng		Small smoked fish &amp; Morgan Stanley 	79	79	74	74	77	76	76	535	1.92
170	Smart Lee		Sugar Plz	76	78	76	77	76	76	75	534	0.88
171	Chaewon Joung	High School	idk	76	78	77	77	76	75	75	534	1.03
172	Elaine Shen	High School	no clue	77	77	78	75	77	76	74	534	1.28
173	Angelina Li	High School	we take pois personally	74	76	77	77	79	76	75	534	1.48
174	Zhang Junye		Z&amp;L	75	79	74	77	78	75	76	534	1.67
175	Akshatha Sabaji		disaPOIntment	75	78	75	78	73	78	77	534	1.83
176	(Redacted)		where do we go from here?	76	77	75	76	77	75	77	533	0.83
177=	Amy Tao	High School	CWSDC GA	77	76	76	76	75	75	78	533	0.99
177=	Eve Lee	High School	Father Bostan	75	76	75	78	77	76	76	533	0.99
177=	Cathy Dong		Sugar Plz	77	77	76	76	77	76	74	533	0.99
177=	Sophia Xiao		MUST LOOOOOK	75	76	75	76	77	78	76	533	0.99
181	Anielka Nallathamby	High School	Kandy A	74	76	76	76	76	77	78	533	1.12
182	Arunwan Areeanchuleekorn	High School	A Heartbroken dude and a Stressed g	75	77	74	74	78	77	78	533	1.64
183	Jane Hahn	High School	QUEENS	75	78	74	78	75	78	75	533	1.64
184	Ruolin Fang		We don’t have a name	75	76	76	75	77	76	77	532	0.76
185	Jiayi Zhao		NNU Plus One	75	75	77	77	76	75	77	532	0.93
186	Cassie Yiyan Zhang		Fantastick	76	78	75	76	74	77	76	532	1.20
187	Nanop Pornprommin	High School	A Heartbroken dude and a Stressed g	75	76	74	75	77	77	78	532	1.31
188=	John Arthur Gregory D. Dolor	High School	First month of f2f is 💩	75	77	75	76	75	79	75	532	1.41
188=	LuYingqi		Z&amp;L	74	78	74	77	77	76	76	532	1.41
190	Tim Gu	High School	no clue	76	77	77	75	75	76	75	531	0.83
191=	Nguyen Thi Minh Thao		have mercy on us please	75	77	76	75	78	76	74	531	1.25
191=	Sophia Sheng		Manphia	75	76	75	76	78	74	77	531	1.25
191=	Jiayi Shi		NNU Plus One	75	74	76	78	76	75	77	531	1.25
191=	Betty Han		shipping is happiness	74	76	75	77	78	75	76	531	1.25
195=	Yudai Kubota	High School	Wabi Sabi	74	75	75	76	78	78	75	531	1.46
195=	Grace Ge		RUC Sunday Morning	74	78	77	75	77	74	76	531	1.46
197	Yumna Nafees	High School	Kandy A	75	73	77	75	76	78	77	531	1.55
198	Aaron Wang		Neversober	79	76	75	76	76	76	73	531	1.64
199	Wu Tong		Neversober	79	76	76	76	75	76	73	531	1.64
200	Adam Syahmi bin Ahmad Shahran	High School	Malaysia Folklore	79	73	76	76	80	77	70	531	3.18
201	Kate Tee Kai Marn	High School	Malaysia Folklore	79	73	77	75	80	77	70	531	3.23
202	Chorena Grace G. Lorania		where do we go from here?	75	75	77	75	76	75	77	530	0.88
203	Nguyen Viet Tung		have mercy on us please	75	76	76	75	78	76	74	530	1.16
204	Linhan Wang		shipping is happiness	74	75	75	77	78	75	76	530	1.28
205	Jing Xu		Wayward Ribs	78	76	76	74	76	76	74	530	1.28
206	Ashley Stephanie P. Dimayuga	High School	First month of f2f is 💩	73	76	75	76	76	78	76	530	1.39
207	Jie Huang		SHOU-AJ	77	76	75	73	78	76	75	530	1.48
208	Daisy Jin		Midnight Sleepyheads	73	76	73	78	78	77	75	530	1.98
209	Dasun de Silva		Lay Flat	79	76	73	78	76	75	73	530	2.12
210	Doris Yang		Domy Yogurt	75	76	75	76	75	77	75	529	0.73
211	Vu Ha Anh	High School	unverage	77	76	75	76	75	76	74	529	0.90
212=	Lexie Li		RUC Sunday Morning	74	77	77	75	76	74	76	529	1.18
212=	Mandy Luo		Manphia	75	75	75	76	78	74	76	529	1.18
214	Sophie Zhang		Outsiders	76	77	74	78	75	75	74	529	1.40
215	Edison Kung		Electricity	75	75	74	79	76	75	75	529	1.50
216	Li Miao		Wayward Ribs	76	76	76	74	76	75	75	528	0.73
217	Christopher		POI in the Chat	75	75	77	75	78	74	74	528	1.40
218	Jenny Xu		SISU stray girls	75	78	75	76	76	76	72	528	1.68
219	Norman Mingjian Li		Shanghai	74	75	74	76	75	76	77	527	1.03
220	Tina Tian		MUST Die Hard	75	76	73	76	75	77	75	527	1.16
221=	Janice		POI in the Chat	75	76	78	74	76	74	74	527	1.39
221=	Millie Shao		SGT	77	77	74	75	76	75	73	527	1.39
223	Cindy Xu		Outsiders	75	77	74	78	75	74	74	527	1.48
224	Louix Lu		Lay Flat	78	74	74	77	75	76	73	527	1.67
225	Jessie Xiong		Arvada King Dar Gwa	76	75	73	77	73	75	78	527	1.75
226	Thuy An Pham		THW Ban Dihydro Monoxide	77	75	75	77	77	75	71	527	1.98
227	Ruotong Gao		SHOU-AJ	75	76	74	73	77	76	75	526	1.25
228=	Ta Huy Hieu		unverage	77	74	74	76	75	77	73	526	1.46
228=	Ray Yangyu		Double WHIPS	73	73	76	76	76	77	75	526	1.46
230	Fan Zelin		Give me five one more time	73	74	76	73	78	76	76	526	1.73
231	Wakanda Hu	High School	Arvada King Dar Gwa	76	75	73	77	73	74	78	526	1.81
232	Lijie Bai		Midnight Sleepyheads	73	76	73	77	77	77	73	526	1.88
233	Cindy Xinyi Wu		Shanghai	74	75	74	76	75	75	76	525	0.76
234	Xingyu Cai		Am I adorable?	74	73	75	75	76	77	75	525	1.20
235	Alexa Chen		SISU stray girls	75	76	75	76	76	75	72	525	1.31
236=	Lei Kun		evermore	75	73	73	77	75	76	76	525	1.41
236=	Liufu Shixian		Jimei	75	72	75	75	76	75	77	525	1.41
238	Hong Rachel		Give me five one more time	73	74	75	74	79	75	75	525	1.77
239	Nisra Sookpradist	High School	Random Weirdos	74	75	71	76	77	76	76	525	1.85
240=	Macy Yuan		Domy Yogurt	74	75	75	75	74	77	74	524	0.99
240=	Yuan Yutong		FL Clover	73	75	76	76	75	74	75	524	0.99
242	Giselle Zhang		Think about it	76	73	77	74	75	75	74	524	1.25
243	Cindy Xu Xinyi		Double WHIPS	73	73	76	75	76	77	74	524	1.46
244	Shi Kexin		Simultaneous Equation	72	77	73	75	75	76	76	524	1.64
245	Yaqing Li	High School	Plus	76	73	72	75	75	77	76	524	1.64
246	Ruoxi Wang	High School	Random Weirdos	73	74	72	77	76	76	76	524	1.73
247	Jennifer Fan	High School	Debate our way to the GF	77	74	72	77	73	76	75	524	1.81
248	Lydia Li		Electricity	77	73	73	79	73	74	75	524	2.17
249	Ren Zige		Big smart eggs	75	74	76	75	75	74	74	523	0.70
250	Deng Linjing		Big smart eggs	74	74	76	76	75	74	74	523	0.88
251	Rachel Xin		Think about it	74	74	77	75	75	74	74	523	1.03
252	Tengfei Ding		Am I adorable?	74	73	74	74	76	77	75	523	1.28
253	Chen Xiaotong	High School	Debate our way to the GF	74	74	72	77	74	76	76	523	1.58
254	Huang Jiadi		Jimei	74	72	74	76	76	74	76	522	1.40
255	Deng Jiewen		evermore	75	72	73	77	75	75	75	522	1.50
256	Zhang Jiening		Simultaneous Equation	71	76	74	75	73	76	77	522	1.92
257	Napolie He		SGT	75	74	73	75	76	75	73	521	1.05
258	Jingqi Quan		We don&#x27;t cook we don&#x27;t clean	74	74	74	73	74	75	77	521	1.18
259	Vuong Quoc Dung (Jun)		Desperated headache 🤦‍♂️	77	75	73	73	72	76	75	521	1.68
260	Danh Thai Duong Nguyen (Darwin)		Desperated headache 🤦‍♂️	76	76	74	73	71	77	74	521	1.92
261	Jingxiang Jia	High School	Plus	75	73	73	76	75	73	75	520	1.16
262	Xiaojie Zhou		We don&#x27;t cook we don&#x27;t clean	73	75	74	72	74	75	77	520	1.48
263	Eyedi Wen		Who&#x27;s Next	77	75	74	76	72	75	71	520	1.98
264	Wei Yiran		FL Clover	74	75	75	75	74	73	73	519	0.83
265	Nhu-Y Vu Hoang		LHP Padaboom	74	75	74	75	71	76	74	519	1.46
266	Freya Liang		Shuank Q	73	73	74	76	74	74	74	518	0.93
267	Diwen Yang		Don&#x27;t Judge	74	74	74	74	76	74	72	518	1.07
268	Zeping Li		Don&#x27;t Judge	73	74	75	74	76	75	71	518	1.51
269	Wendy Zhang		SpongeBob	76	75	73	76	74	73	71	518	1.69
270	Catherine Bao		SpongeBob	76	75	74	75	73	74	70	517	1.81
271	Sophie Yuan		Who&#x27;s Next	77	75	74	76	72	75	68	517	2.80
272	Richelle Liu		To be Rich	75	73	73	74	73	75	73	516	0.88
273	Andrew Lim		Shuank Q	73	73	73	75	74	74	73	515	0.73
274	Jiang Yiming		Debate for Love Team	74	73	74	74	75	73	72	515	0.90
275	Mandy Zhang	High School	Team Macau Dev MM	72	74	72	75	74	73	75	515	1.18
276	Zhang Yirui		Debate for Love Team	74	72	73	74	75	73	72	513	1.03
277	Missa Cheng	High School	Team Macau Dev MM	71	74	73	74	73	73	75	513	1.16
278	Toni Wang		To be Rich	74	72	73	73	72	75	73	512	0.99
279	Tsam-Tsam Tou	High School	Team Macau Dev TT	75	73	74	73	72	70	73	510	1.46
280	Rain Teng	High School	Team Macau Dev TT	69	73	73	73	72	70	72	502	1.48
281	Emma Yang	High School	Team Macau Dev HY	71	70	71	72	73	73	71	501	1.05
282	Nathan Han	High School	Team Macau Dev HY	70	70	71	71	71	72	71	496	0.64
283	Flora Baek		Korea-Japan Collab in Europe	79	—	81	81	78	81	81	481	1.21
284	Revan Lim TJ		1.5 Malaysians	80	—	80	80	81	77	80	478	1.25
285	Paolo Taino		Cat Transformers	—	79	78	81	79	78	77	472	1.25
286	Mai Quang Hưng	High School	Unbroke	76	76	78	78	—	76	77	461	0.90
287	Mark Ma		Amma	—	77	78	77	76	76	76	460	0.75
288	Wu Tong		We don’t have a name	76	77	75	—	76	76	78	458	0.94
289	Hai-Anh Luong Minh	High School	LHP Padaboom	75	76	74	74	—	78	74	451	1.46
290	Chelsea Zheng		MUST Die Hard	75	75	72	76	74	—	75	447	1.26
291	Huynh Vinh Thuy		THW Ban Dihydro Monoxide	—	75	75	76	75	75	71	447	1.61
292	Praewinkant Pongpatcharathorntep	High School	Grass Connoisseurs	—	77	71	73	75	76	73	445	2.03
293	Tanae Rao		Hammering Yall&#x27;s Epistemics	79	—	78	81	81	77	—	396	1.60
294	Bernard Opoku Baah		KNUST O	77	76	79	75	79	—	—	386	1.60
295	Lưu Chí Anh	High School	Let&#x27;s Taco Bout It	78	75	78	75	78	—	—	384	1.47
296	Vu Ngo Ai Khanh	High School	Let&#x27;s Taco Bout It	79	75	77	75	77	—	—	383	1.50
297	Rahat Khan		its giving existential dread bestie	74	78	77	74	75	—	—	378	1.62
298	Fairana Afsana		its giving existential dread bestie	73	76	78	74	74	—	—	375	1.79
299	Suprawee Tuanto	High School	Grass Connoisseurs	75	75	71	—	—	77	74	372	1.96
300	Alhassan Umuhairu		KNUST O	78	—	80	76	—	—	—	234	1.63
301	Monica Yue Yao		Swing CY	—	—	72	—	73	71	—	216	0.82
302	Isadora Tianyi Cai		Swing CY	—	—	72	—	72	71	—	215	0.47
303=	Philippa Yutong Guo		Swing GL	69	74	—	—	—	72	—	215	2.05
303=	Carol Zhirui Li		Swing GL	69	74	—	—	—	72	—	215	2.05
305=	Helen Yang Fei		Swing FS	—	—	—	70	73	71	—	214	1.25
305=	David Jisheng Shu		Swing FS	—	—	—	70	73	71	—	214	1.25
307	Anaïs Kneppers		Break X Hunter	77	76	—	—	—	—	—	153	0.50
308	Anarchy Jianing Zhang		swing ZZ	—	—	74	—	—	74	—	148	0.00
309	Edwin Zifu Zhang		swing ZZ	—	—	75	—	—	73	—	148	1.00
310	Jackson Linjun Tang		Swing HT	—	—	—	71	—	—	75	146	2.00
311	Daniel Qiyang Huang		Swing HT	—	—	—	70	—	—	75	145	2.50
312=	Speaker 5		Swing 3	—	—	—	—	—	74	—	74	0.00
312=	Speaker 6		Swing 3	—	—	—	—	—	74	—	74	0.00
314=	Khushpreet Kaur		Two Simps	—	—	—	—	—	—	—	—	—
314=	Harsh Darshan Upadhyay		Two Simps	—	—	—	—	—	—	—	—	—
314=	Mevindu Asuramanna	High School	Ones who Knock	—	—	—	—	—	—	—	—	—
314=	Cheka Mendis	High School	Ones who Knock	—	—	—	—	—	—	—	—	—
314=	Steven Paul C. Siawan		Sabak Daddy Bi	—	—	—	—	—	—	—	—	—
314=	James Ryan Cachola		Sabak Daddy Bi	—	—	—	—	—	—	—	—	—
314=	Anjani Chauhan		Probably Wrong	—	—	—	—	—	—	—	—	—
314=	Riya Gupta		Probably Wrong	—	—	—	—	—	—	—	—	—
314=	Raihan Rahman		Break X Hunter	—	—	—	—	—	—	—	—	—
314=	Anene Anthony		Dynamo Blancos	—	—	—	—	—	—	—	—	—
314=	Chigozie Daniel.		Dynamo Blancos	—	—	—	—	—	—	—	—	—


team	result	side	ballot	adjudicators
Small smoked fish &amp; Morgan Stanley 	1st	Closing Opposition	View Ballot	Ayafa TonyeⒸ
Arvada King Dar Gwa	3rd	Closing Government	View Ballot	Ayafa TonyeⒸ
SISU stray girls	4th	Opening Opposition	View Ballot	Ayafa TonyeⒸ
Amma	2nd	Opening Government	View Ballot	Ayafa TonyeⒸ
rawr	1st	Closing Opposition	View Ballot	BoemoⒸ
MUST Die Hard	4th	Closing Government	View Ballot	BoemoⒸ
THW Ban Dihydro Monoxide	2nd	Opening Opposition	View Ballot	BoemoⒸ
where do we go from here?	3rd	Opening Government	View Ballot	BoemoⒸ
MUST LOOOOOK	3rd	Closing Opposition	View Ballot	Joy HadomeⒸ
21 Chump Street	2nd	Closing Government	View Ballot	Joy HadomeⒸ
Benchwarmers	1st	Opening Opposition	View Ballot	Joy HadomeⒸ
Debate for Love Team	4th	Opening Government	View Ballot	Joy HadomeⒸ
rampage	1st	Closing Opposition	View Ballot	Vansh ChadhaⒸ
Defenestrators	3rd	Closing Government	View Ballot	Vansh ChadhaⒸ
its giving existential dread bestie	4th	Opening Opposition	View Ballot	Vansh ChadhaⒸ
Swirling darkness	2nd	Opening Government	View Ballot	Vansh ChadhaⒸ
Mga Bading	2nd	Closing Opposition	View Ballot	NemoⒸ
FUV	3rd	Closing Government	View Ballot	NemoⒸ
FL Clover	4th	Opening Opposition	View Ballot	NemoⒸ
2 Parks 0 Professors	1st	Opening Government	View Ballot	NemoⒸ
YNC QC	2nd	Closing Opposition	View Ballot	Kyle GoⒸ
shipping is happiness	4th	Opening Government	View Ballot	Kyle GoⒸ
we know what you posted on facebook	3rd	Closing Government	View Ballot	Kyle GoⒸ
Hammering Yall&#x27;s Epistemics	1st	Opening Opposition	View Ballot	Kyle GoⒸ
Rick Gave Us Up (because we are bro	3rd	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ
Big smart eggs	4th	Closing Government	View Ballot	Erasmus SegbefiaⒸ
Korea-Japan Collab in Europe	1st	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ
Wayward Ribs	2nd	Opening Government	View Ballot	Erasmus SegbefiaⒸ
Lil K &amp; Shawty	1st	Closing Opposition	View Ballot	Daisy SunⒸ
A Heartbroken dude and a Stressed g	4th	Closing Government	View Ballot	Daisy SunⒸ
Sugar Plz	2nd	Opening Opposition	View Ballot	Daisy SunⒸ
Can&#x27;t stop coming ............to de	3rd	Opening Government	View Ballot	Daisy SunⒸ
Give me five one more time	4th	Closing Opposition	View Ballot	ShudiptoⒸ
Table L is the Best L	1st	Closing Government	View Ballot	ShudiptoⒸ
Swky	2nd	Opening Opposition	View Ballot	ShudiptoⒸ
RUC Sunday Morning	3rd	Opening Government	View Ballot	ShudiptoⒸ
rich era when	1st	Closing Opposition	View Ballot	Srijan PoudelⒸ
Malaysia Folklore	2nd	Closing Government	View Ballot	Srijan PoudelⒸ
Outsiders	3rd	Opening Opposition	View Ballot	Srijan PoudelⒸ
Jimei	4th	Opening Government	View Ballot	Srijan PoudelⒸ
Osaka A	1st	Closing Opposition	View Ballot	Tengku OmarⒸ , Maia PunzalanⓉ
Think about it	2nd	Closing Government	View Ballot	Tengku OmarⒸ , Maia PunzalanⓉ
First month of f2f is 💩	3rd	Opening Opposition	View Ballot	Tengku OmarⒸ , Maia PunzalanⓉ
Swing GL	4th	Opening Government	View Ballot	Tengku OmarⒸ , Maia PunzalanⓉ
AC	3rd	Closing Opposition	View Ballot	Toru OgaⒸ
Panic pandas	2nd	Closing Government	View Ballot	Toru OgaⒸ
Plus	4th	Opening Opposition	View Ballot	Toru OgaⒸ
Malaysia Midnights	1st	Opening Government	View Ballot	Toru OgaⒸ
NUS LT	1st	Closing Opposition	View Ballot	Pranav KagalkarⒸ
Girlboos	2nd	Closing Government	View Ballot	Pranav KagalkarⒸ
Midnight Sleepyheads	3rd	Opening Opposition	View Ballot	Pranav KagalkarⒸ
Simultaneous Equation	4th	Opening Government	View Ballot	Pranav KagalkarⒸ
Shanghai	4th	Closing Opposition	View Ballot	Chinmaya MohanⒸ
have mercy on us please	3rd	Opening Government	View Ballot	Chinmaya MohanⒸ
DAV Jagerbomb	1st	Opening Opposition	View Ballot	Chinmaya MohanⒸ
Cat Transformers	2nd	Closing Government	View Ballot	Chinmaya MohanⒸ
Cat grill friend	1st	Closing Opposition	View Ballot	Shuvam MitraⒸ
No Sleep Schedule	2nd	Closing Government	View Ballot	Shuvam MitraⒸ
bmarin kitagawa	3rd	Opening Opposition	View Ballot	Shuvam MitraⒸ
Kandy A	4th	Opening Government	View Ballot	Shuvam MitraⒸ
Grass Connoisseurs	4th	Closing Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
CWSDC BC	2nd	Closing Government	View Ballot	Shifatul Ahsan ApurbaⒸ
unverage	3rd	Opening Opposition	View Ballot	Shifatul Ahsan ApurbaⒸ
We don&#x27;t have a 2nd speaker so we m	1st	Opening Government	View Ballot	Shifatul Ahsan ApurbaⒸ
You know what	1st	Closing Opposition	View Ballot	Vladimira ŠuflajⒸ
Malaysia 1989	3rd	Closing Government	View Ballot	Vladimira ŠuflajⒸ
We don’t have a name	4th	Opening Opposition	View Ballot	Vladimira ŠuflajⒸ
muffins are sad cupcakes	2nd	Opening Government	View Ballot	Vladimira ŠuflajⒸ
Don&#x27;t Judge	4th	Closing Opposition	View Ballot	Jonathan TuliaoⒸ
SHOU-AJ	2nd	Closing Government	View Ballot	Jonathan TuliaoⒸ
won&#x27;t be there for roll call	3rd	Opening Opposition	View Ballot	Jonathan TuliaoⒸ
We Grew Up With SIDO	1st	Opening Government	View Ballot	Jonathan TuliaoⒸ
CWSDC LE	1st	Closing Opposition	View Ballot	Ryosei KobayashiⒸ , Banun Sabri
Shuank Q	4th	Closing Government	View Ballot	Ryosei KobayashiⒸ , Banun Sabri
Pls have mercy on us	3rd	Opening Opposition	View Ballot	Ryosei KobayashiⒸ , Banun Sabri
CWSDC Vanderbilt	2nd	Opening Government	View Ballot	Ryosei KobayashiⒸ , Banun Sabri
we take pois personally	3rd	Closing Opposition	View Ballot	Saugat PokharelⒸ
SYDO	2nd	Closing Government	View Ballot	Saugat PokharelⒸ
disaPOIntment	1st	Opening Opposition	View Ballot	Saugat PokharelⒸ
Not Breaking Not Broken	4th	Opening Government	View Ballot	Saugat PokharelⒸ
Let&#x27;s Taco Bout It	3rd	Closing Opposition	View Ballot	Beatrice CuizonⒸ
UZ	4th	Closing Government	View Ballot	Beatrice CuizonⒸ
Zagreb A(lternate Universe)	1st	Opening Opposition	View Ballot	Beatrice CuizonⒸ
CWSDC MA	2nd	Opening Government	View Ballot	Beatrice CuizonⒸ
Blissful New World	1st	Closing Opposition	View Ballot	Rahul DattaⒸ
Hsejar	2nd	Closing Government	View Ballot	Rahul DattaⒸ
3rd is satisfying	4th	Opening Opposition	View Ballot	Rahul DattaⒸ
low hanging fruit	3rd	Opening Government	View Ballot	Rahul DattaⒸ
Bear	1st	Closing Opposition	View Ballot	Ogundare Taye TobiⒸ
Forda compete ang fersons	2nd	Closing Government	View Ballot	Ogundare Taye TobiⒸ
Team Macau Dev TT	4th	Opening Opposition	View Ballot	Ogundare Taye TobiⒸ
Electricity	3rd	Opening Government	View Ballot	Ogundare Taye TobiⒸ
NUS TD	1st	Closing Opposition	View Ballot	Nayara NoorⒸ
Neversober	4th	Closing Government	View Ballot	Nayara NoorⒸ
TC DBSK	3rd	Opening Opposition	View Ballot	Nayara NoorⒸ
Ateneo BC	2nd	Opening Government	View Ballot	Nayara NoorⒸ
CWSDC HK	2nd	Closing Opposition	View Ballot	Pranav AnandⒸ
no clue	4th	Closing Government	View Ballot	Pranav AnandⒸ
KNUST O	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ
SUFE 1	1st	Opening Government	View Ballot	Pranav AnandⒸ
Still Life 1487	2nd	Closing Opposition	View Ballot	Rushdoon AhmedⒸ
Unbroke	4th	Closing Government	View Ballot	Rushdoon AhmedⒸ
Making questionable decisions every	1st	Opening Opposition	View Ballot	Rushdoon AhmedⒸ
PEANUTS GA SUKI	3rd	Opening Government	View Ballot	Rushdoon AhmedⒸ
Double WHIPS	4th	Closing Opposition	View Ballot	Mehul JoshiⒸ
Kandyland	1st	Closing Government	View Ballot	Mehul JoshiⒸ
Random Weirdos	3rd	Opening Opposition	View Ballot	Mehul JoshiⒸ
Manphia	2nd	Opening Government	View Ballot	Mehul JoshiⒸ
QUEENS	3rd	Closing Opposition	View Ballot	Prashasti SaxenaⒸ , Jade ShawⓉ
NNU Plus One	4th	Closing Government	View Ballot	Prashasti SaxenaⒸ , Jade ShawⓉ
Fantastick	2nd	Opening Opposition	View Ballot	Prashasti SaxenaⒸ , Jade ShawⓉ
Crispy Chicken	1st	Opening Government	View Ballot	Prashasti SaxenaⒸ , Jade ShawⓉ
feminisht princhessus	4th	Closing Opposition	View Ballot	Ruth Selorme AcolatseⒸ
Sharks	1st	Closing Government	View Ballot	Ruth Selorme AcolatseⒸ
Ronaldo Suwi	2nd	Opening Opposition	View Ballot	Ruth Selorme AcolatseⒸ
Should&#x27;ve Broke Second	3rd	Opening Government	View Ballot	Ruth Selorme AcolatseⒸ
1.5 Malaysians	1st	Closing Opposition	View Ballot	Anshuman MishraⒸ
THBT	2nd	Closing Government	View Ballot	Anshuman MishraⒸ
Z&amp;L	3rd	Opening Opposition	View Ballot	Anshuman MishraⒸ
Am I adorable?	4th	Opening Government	View Ballot	Anshuman MishraⒸ
idk	3rd	Closing Opposition	View Ballot	Davida PaulⒸ , Bilal Najaf
prowlin pogchamp	1st	Closing Government	View Ballot	Davida PaulⒸ , Bilal Najaf
Break X Hunter	2nd	Opening Opposition	View Ballot	Davida PaulⒸ , Bilal Najaf
Father Bostan	4th	Opening Government	View Ballot	Davida PaulⒸ , Bilal Najaf
POI in the Chat	3rd	Closing Opposition	View Ballot	Adel Mostaque AhmedⒸ
Me When	1st	Closing Government	View Ballot	Adel Mostaque AhmedⒸ
MWBD	2nd	Opening Opposition	View Ballot	Adel Mostaque AhmedⒸ
Team Macau Dev HY	4th	Opening Government	View Ballot	Adel Mostaque AhmedⒸ
Wabi Sabi	3rd	Closing Opposition	View Ballot	Halimat Ojone UsmanⒸ
I Ordered Affogato and They Gave Me	1st	Closing Government	View Ballot	Halimat Ojone UsmanⒸ
SGT	2nd	Opening Opposition	View Ballot	Halimat Ojone UsmanⒸ
To be Rich	4th	Opening Government	View Ballot	Halimat Ojone UsmanⒸ
Who&#x27;s Next	3rd	Closing Opposition	View Ballot	Utkarsh PandeyⒸ
UPD GL	1st	Closing Government	View Ballot	Utkarsh PandeyⒸ
Desperated headache 🤦‍♂️	4th	Opening Opposition	View Ballot	Utkarsh PandeyⒸ
This Shanghainese get Shanghai&#x27;ed t	2nd	Opening Government	View Ballot	Utkarsh PandeyⒸ
Lay Flat	3rd	Closing Opposition	View Ballot	Owolabi Victor OluwatobiⒸ
What We Got	4th	Closing Government	View Ballot	Owolabi Victor OluwatobiⒸ
CWSDC AT	1st	Opening Opposition	View Ballot	Owolabi Victor OluwatobiⒸ
I Draw the Line at Incels	2nd	Opening Government	View Ballot	Owolabi Victor OluwatobiⒸ
Debate our way to the GF	1st	Closing Opposition	View Ballot	Ralph LeeⒸ , Xiaochun “Jennette” Zhu
Domy Yogurt	3rd	Closing Government	View Ballot	Ralph LeeⒸ , Xiaochun “Jennette” Zhu
We don&#x27;t cook we don&#x27;t clean	4th	Opening Opposition	View Ballot	Ralph LeeⒸ , Xiaochun “Jennette” Zhu
CWSDC AJ	2nd	Opening Government	View Ballot	Ralph LeeⒸ , Xiaochun “Jennette” Zhu
Kinetic Energy	1st	Closing Opposition	View Ballot	Ayodele SamuelⒸ
SpongeBob	3rd	Closing Government	View Ballot	Ayodele SamuelⒸ
evermore	4th	Opening Opposition	View Ballot	Ayodele SamuelⒸ
CWSDC GA	2nd	Opening Government	View Ballot	Ayodele SamuelⒸ
Candy Crush	2nd	Opening Opposition	View Ballot	Yash ChaturvediⒸ
LHP Padaboom	3rd	Opening Government	View Ballot	Yash ChaturvediⒸ
Team Macau Dev MM	4th	Closing Opposition	View Ballot	Yash ChaturvediⒸ
CWSDC AV	1st	Closing Government	View Ballot	Yash ChaturvediⒸ


team	result	side	ballot	adjudicators
Me When	3rd	Closing Opposition	View Ballot	ShudiptoⒸ , Owolabi Victor Oluwatobi
rich era when	4th	Closing Government	View Ballot	ShudiptoⒸ , Owolabi Victor Oluwatobi
Malaysia Midnights	1st	Opening Opposition	View Ballot	ShudiptoⒸ , Owolabi Victor Oluwatobi
UPD GL	2nd	Opening Government	View Ballot	ShudiptoⒸ , Owolabi Victor Oluwatobi
Midnight Sleepyheads	3rd	Closing Opposition	View Ballot	Jonathan TuliaoⒸ
MUST LOOOOOK	2nd	Closing Government	View Ballot	Jonathan TuliaoⒸ
POI in the Chat	4th	Opening Opposition	View Ballot	Jonathan TuliaoⒸ
no clue	1st	Opening Government	View Ballot	Jonathan TuliaoⒸ
To be Rich	4th	Closing Opposition	View Ballot	Vansh ChadhaⒸ
Give me five one more time	2nd	Closing Government	View Ballot	Vansh ChadhaⒸ
NNU Plus One	1st	Opening Opposition	View Ballot	Vansh ChadhaⒸ
Plus	3rd	Opening Government	View Ballot	Vansh ChadhaⒸ
SISU stray girls	1st	Closing Opposition	View Ballot	Kyle GoⒸ
Simultaneous Equation	2nd	Closing Government	View Ballot	Kyle GoⒸ
Grass Connoisseurs	3rd	Opening Opposition	View Ballot	Kyle GoⒸ
Shuank Q	4th	Opening Government	View Ballot	Kyle GoⒸ
