
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
60	Stanford F		1st	1st	3rd	3rd	2nd	2nd	4th	1st	4th	15	1429	3	2	2	0
61	CUS A		1st	1st	3rd	4th	2nd	1st	3rd	3rd	3rd	15	1423	3	1	4	0
62	UM A	ESL	2nd	1st	2nd	4th	1st	4th	3rd	2nd	2nd	15	1418	2	4	1	0
63	DDUL A	ESL	1st	2nd	3rd	2nd	3rd	1st	2nd	3rd	4th	15	1418	2	3	3	0
64	Cornell A		1st	4th	1st	4th	1st	4th	3rd	2nd	1st	15	1417	4	1	1	0
65	Stanford C		1st	2nd	1st	3rd	3rd	1st	4th	2nd	4th	15	1414	3	2	2	0
66	Auckland A		1st	1st	4th	4th	4th	2nd	1st	2nd	2nd	15	1412	3	3	0	0
67	UCL C		3rd	1st	3rd	3rd	4th	1st	2nd	2nd	2nd	15	1412	2	3	3	0
68	TCD Hist A		2nd	2nd	3rd	1st	2nd	3rd	3rd	4th	1st	15	1406	2	3	3	0
69	Brown BDU A		2nd	3rd	2nd	1st	1st	4th	2nd	3rd	3rd	15	1401	2	3	3	0
70	PDP F		1st	4th	2nd	2nd	2nd	2nd	3rd	3rd	2nd	15	1401	1	5	2	0
71	BFSU A	ESL, EFL	4th	2nd	1st	2nd	1st	4th	2nd	3rd	2nd	15	1395	2	4	1	0
72	Yale E		3rd	2nd	1st	3rd	2nd	4th	2nd	1st	3rd	15	1395	2	3	3	0
73	Claremont A		2nd	2nd	4th	1st	1st	3rd	4th	3rd	1st	15	1394	3	2	2	0
74	Columbia B		2nd	1st	4th	2nd	4th	4th	2nd	1st	1st	15	1392	3	3	0	0
75	Yale D		3rd	1st	2nd	3rd	4th	2nd	1st	4th	1st	15	1388	3	2	2	0
76	UChicago D		2nd	4th	2nd	1st	4th	3rd	2nd	1st	2nd	15	1387	2	4	1	3
77	UCLA B		3rd	2nd	2nd	2nd	1st	4th	1st	3rd	3rd	15	1385	2	3	3	0
78	Brown BDU B		4th	3rd	1st	1st	4th	1st	3rd	3rd	1st	15	1383	4	0	3	0
79	IITB A	ESL	3rd	3rd	3rd	3rd	1st	3rd	2nd	1st	2nd	15	1381	2	2	5	0
80	TEC CEM M	ESL, EFL	3rd	2nd	2nd	4th	3rd	2nd	1st	1st	3rd	15	1380	2	3	3	0
81	Yale B		3rd	3rd	1st	4th	2nd	2nd	4th	1st	1st	15	1373	3	2	2	0
82	Harvard D		3rd	1st	2nd	1st	4th	1st	3rd	4th	3rd	14	1429	3	1	3	0
83	Waterloo A		2nd	3rd	3rd	2nd	3rd	4th	1st	2nd	2nd	14	1406	1	4	3	0
84	MAD A		4th	1st	2nd	1st	4th	3rd	1st	2nd	4th	14	1399	3	2	1	1
85	EDS A		3rd	3rd	2nd	2nd	2nd	1st	2nd	4th	3rd	14	1397	1	4	3	0
86	PDP C		1st	4th	1st	2nd	3rd	4th	1st	4th	2nd	14	1393	3	2	1	0
87	BU A		4th	4th	1st	1st	3rd	3rd	1st	4th	1st	14	1392	4	0	2	0
88	CUS C		2nd	3rd	1st	4th	1st	4th	1st	2nd	4th	14	1392	3	2	1	0
89	Cornell C		1st	3rd	4th	2nd	3rd	1st	4th	2nd	2nd	14	1392	2	3	2	0
90	UWODS A		3rd	1st	3rd	3rd	3rd	1st	2nd	4th	2nd	14	1391	2	2	4	0
91	HHDC B		3rd	1st	3rd	3rd	3rd	1st	3rd	4th	1st	14	1387	3	0	5	0
