
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	DSS	1sts	2nds
1	Open Matt and Paula		1st	1st	1st	1st	1st	15	816	11852.00	5	0
2	Open Matt and Robi		1st	1st	3rd	1st	1st	13	813	11823.00	4	0
3	UPD AL		1st	1st	1st	2nd	2nd	13	807	11822.00	3	2
4	Inner Temple B		1st	2nd	2nd	1st	2nd	12	811	11682.00	2	3
5	Open lubricated probe covers for m		1st	2nd	2nd	2nd	1st	12	809	11863.00	2	3
6	Open AS		1st	4th	1st	1st	1st	12	794	11756.00	4	0
7	HH RK		1st	2nd	3rd	1st	1st	12	781	11027.00	3	1
8	UPenn Belt and Road Initiative		1st	2nd	1st	2nd	3rd	11	808	11096.00	2	2
9	HUJI AA	ESL	1st	1st	2nd	1st	4th	11	806	11906.00	3	1
10	Liverpool AM		3rd	1st	3rd	1st	1st	11	797	11620.00	3	0
11	Harvard the panda elephant tigers		3rd	1st	1st	1st	3rd	11	796	11624.00	3	0
12	Vukovar A	ESL	1st	2nd	2nd	2nd	2nd	11	793	11798.00	1	4
13	Oxford Friendship is Magic		1st	4th	1st	2nd	1st	11	793	11681.00	3	1
14	Usask SM		3rd	1st	2nd	1st	2nd	11	792	11546.00	2	2
15	Open Raman and Vanni		1st	2nd	1st	3rd	2nd	11	791	11757.00	2	2
16	EDS if we break we&#x27;ll get married :)		3rd	1st	2nd	2nd	1st	11	789	11614.00	2	2
17	HH BY		1st	2nd	1st	2nd	4th	10	797	11852.00	2	2
18	UPenn China and Greater China		2nd	1st	1st	3rd	3rd	10	797	11315.00	2	1
19	USC 1		1st	4th	1st	3rd	1st	10	793	11178.00	3	0
20	UCL CD		3rd	1st	3rd	1st	2nd	10	790	11082.00	2	1
21	Malaya A	ESL	2nd	1st	2nd	3rd	2nd	10	788	11770.00	1	3
22	we wood ruff yu up		2nd	3rd	1st	1st	3rd	10	787	11748.00	2	1
23	Malaya/Taylor&#x27;s SA	ESL	2nd	4th	1st	2nd	1st	10	787	11650.00	2	2
24	UWODS Tony		2nd	1st	3rd	3rd	1st	10	787	11528.00	2	1
25	Oxford B		3rd	2nd	2nd	2nd	1st	10	787	11492.00	1	3
26	Amherst GT		4th	1st	1st	1st	3rd	10	784	11264.00	3	0
27	The Abraham Accords		1st	3rd	3rd	1st	2nd	10	781	11234.00	2	1
