
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	DS
1	TAU A		1st	2nd	1st	1st	3rd	1st	1st	1st	1st	24	1490	7	1	0	487
2	Stanford A		1st	1st	1st	2nd	1st	2nd	3rd	2nd	1st	22	1487	5	3	0	503
3	Oxford A		1st	1st	1st	1st	1st	1st	2nd	3rd	3rd	22	1484	6	1	0	521
4	McGill A		1st	3rd	1st	2nd	1st	2nd	2nd	1st	2nd	21	1469	4	4	0	454
5	Sydney E		1st	2nd	2nd	1st	4th	1st	1st	2nd	1st	21	1463	5	3	0	472
6	Sydney F		1st	1st	2nd	3rd	1st	1st	4th	2nd	1st	20	1476	5	2	0	493
7	Dartmouth A		1st	2nd	1st	2nd	3rd	2nd	2nd	1st	2nd	20	1471	3	5	0	458
8	Sydney B		1st	1st	1st	1st	4th	2nd	1st	1st	4th	20	1465	6	1	0	498
9	Belgrade A	ESL	2nd	1st	2nd	1st	1st	4th	2nd	1st	2nd	20	1463	4	4	0	471
10	UNSW A		1st	1st	3rd	3rd	1st	4th	1st	1st	1st	20	1445	6	0	0	452
11	Yale A		1st	3rd	3rd	1st	2nd	1st	3rd	1st	1st	20	1432	5	1	0	400
12	Sydney A		2nd	1st	1st	3rd	4th	1st	3rd	1st	1st	19	1467	5	1	0	440
13	Zagreb A	ESL	1st	2nd	1st	2nd	1st	3rd	2nd	3rd	2nd	19	1466	3	4	0	468
14	Sydney D		2nd	1st	4th	1st	1st	3rd	1st	3rd	1st	19	1446	5	1	0	427
15	Bucharest A	ESL	1st	3rd	1st	1st	4th	2nd	2nd	1st	2nd	19	1446	4	3	0	427
16	Oxford B		1st	3rd	1st	2nd	2nd	2nd	3rd	1st	2nd	19	1441	3	4	0	463
17	HWS B	ESL	2nd	2nd	1st	2nd	1st	2nd	1st	3rd	3rd	19	1433	3	4	0	440
18	Sunway A	ESL	1st	2nd	3rd	2nd	1st	2nd	1st	4th	1st	19	1430	4	3	0	452
